SampleID,Building_Name,Main_Area,Main_Area_short,Main_Area_simplified_for_PERMANOVA,FloorVSnotFloor_for_PERMANOVA,Area_details,Material,Material_simplified,Material_simplified_PERMANOVA,BuildingType
P5_C5,SLSRC,building_door_handle,handle,handle,other,inner_most_doorLocation; East exit of building; by bus-stop,metal,metal,metal,research
P5_C6,SLSRC,building_door_handle,handle,handle,other,inner_most_doorLocation; North exit of building; exit to lloyd noble parking,metal,metal,metal,research
P5_C7,SLSRC,floor_by_exit,floor,floor,floor,"Exit on East wing by stockroom, door to courtyard exit",linoleum,linoleum,linoleum,research
P5_C8,SLSRC,floor_by_exit,floor,floor,floor,East exit of building; by bus-stop,linoleum,linoleum,linoleum,research
P5_C9,SLSRC,floor_by_exit,floor,floor,floor,North exit of building; exit to lloyd noble parking,linoleum,linoleum,linoleum,research
P5_D1,SLSRC,WomensRestroom_DoorHandle,handle,handle,other,"1st floor west wing, by front office",both metal part and wood surrounding (darkish area),both metal part and wood surrounding (darkish area),other,research
P5_D10,SLSRC,2nd floor west lounge,2nd floor west lounge,other,other,chair arm rest,fabric,cloth,cloth,research
P5_D11,SLSRC,2nd floor west lounge,2nd floor west lounge,other,other,white board,whiteboard,whiteboard,other,research
P5_D12,SLSRC,blank,blank,blank,other,blank,blank,blank,blank,research
P5_D2,SLSRC,MensRestroom_DoorHandle,handle,handle,other,"1st floor west wing, across from ms facility",both metal part and wood surrounding (darkish area),both metal part and wood surrounding (darkish area),other,research
P5_D3,SLSRC,water_fountain,water_fountain,water_fountain,other,1st floor across from ms lab,metal,metal,metal,research
P5_D4,SLSRC,water_fountain,water_fountain,water_fountain,other,1st floor across from copy room,metal,metal,metal,research
P5_D5,SLSRC,garbage_can,garbage_can,garbage_can,other,top_can1_by cafe,"metal top of can; by elements, next to where coffee cart is",metal,metal,research
P5_D6,SLSRC,garbage_can,garbage_can,garbage_can,other,top_can2_by exit,metal top of can; by exit to lloyd noble parking lot (north side of building),metal,metal,research
P5_D7,SLSRC,1st floor directory by grand staircase,1st floor directory by grand staircase,other,other,1st floor directory,plastic,plastic,plastic,research
P5_D8,SLSRC,2nd floor west wing stairwell door handle ,handle,handle,other,sampled from hallway side (people have been seen in gloves going up/down stairs from 2nd floor),metal,metal,metal,research
P5_D9,SLSRC,building_door_handle,handle,handle,other,inner_most_doorLocation,West wing exit to courtyard across from main office.  ,metal,metal,research
Pooled_QC_end,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180917202117,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180917232808,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918023503,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918054159,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918083541,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918114234,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918150246,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918180937,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180918211632,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919002328,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919031656,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919062353,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919093042,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919125058,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919161610,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919192313,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180919223005,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
Pooled_QC_mid_180920015021,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,other,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC,Pooled_QC
